NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
1476;0,000294466;-0,000597083;8,52E-05;1,28E-05;1,90E-06;3,24E-05;0,000294466;-0,000597083;8,52E-05;1,28E-05;1,90E-06;3,24E-05;0,000213107;-0,001993068;0,000149724;6,48E-05;-2,05E-06;-2,26E-05;0,000510423;-0,002512791;-8,19E-05;-9,97E-05;2,77E-06;1,05E-05;0,001026809;-0,005141632;-1,31E-05;-6,79E-05;-1,66E-06;2,22E-05
1477;0,000283766;-0,000742128;8,56E-05;1,66E-05;1,47E-06;3,73E-05;0,000283766;-0,000742128;8,56E-05;1,66E-05;1,47E-06;3,73E-05;0,000200696;-0,001938541;0,000143328;4,98E-05;-1,19E-06;-2,85E-05;0,000487638;-0,002477842;-8,46E-05;-9,51E-05;3,28E-06;1,28E-05;0,000980533;-0,005154749;-2,09E-05;-8,86E-05;-2,04E-08;2,04E-05
1478;0,000272501;-0,00091393;8,52E-05;2,17E-05;2,35E-06;4,48E-05;0,000272501;-0,00091393;8,52E-05;2,17E-05;2,35E-06;4,48E-05;0,000187822;-0,001873807;0,000135699;3,95E-05;-2,20E-08;-2,34E-05;0,000465036;-0,002475058;-8,37E-05;-8,83E-05;4,74E-06;2,42E-05;0,000934434;-0,005195154;-2,38E-05;-0,000102449;3,33E-06;4,41E-05
1479;0,00025987;-0,001142218;8,14E-05;2,54E-05;-2,21E-06;6,37E-05;0,00025987;-0,001142218;8,14E-05;2,54E-05;-2,21E-06;6,37E-05;0,000176803;-0,001723328;0,00012871;2,75E-05;-2,44E-06;-6,90E-05;0,00044344;-0,002483448;-8,55E-05;-7,72E-05;3,41E-06;1,46E-05;0,000890883;-0,005182382;-2,80E-05;-0,000118617;-4,71E-06;-6,96E-06
1480;0,000325223;-0,000202921;7,47E-05;4,60E-06;1,62E-06;1,26E-05;0,000325223;-0,000202921;7,47E-05;4,60E-06;1,62E-06;1,26E-05;0,000243233;-0,001278227;0,00015659;9,90E-05;5,48E-06;2,49E-05;0,000605129;-0,002511971;-4,47E-05;-5,49E-05;5,49E-06;5,51E-05;0,001209806;-0,004077159;4,32E-05;4,86E-05;1,10E-05;0,000113397
1481;0,000328087;-0,00021081;7,39E-05;3,73E-06;1,84E-06;1,34E-05;0,000328087;-0,00021081;7,39E-05;3,73E-06;1,84E-06;1,34E-05;0,000250756;-0,001463156;0,000154509;9,60E-05;5,57E-06;3,19E-05;0,000608296;-0,002411275;-4,94E-05;-6,15E-05;-2,77E-07;6,25E-05;0,0012167;-0,004158021;3,49E-05;3,60E-05;2,28E-06;0,00012885
1482;0,000319683;-0,000271563;7,95E-05;5,85E-06;2,08E-06;1,79E-05;0,000319683;-0,000271563;7,95E-05;5,85E-06;2,08E-06;1,79E-05;0,000240495;-0,001539044;0,000161287;9,82E-05;7,07E-07;7,68E-06;0,000583136;-0,002578729;-5,35E-05;-6,49E-05;-4,22E-06;2,49E-05;0,001168488;-0,004487563;3,38E-05;3,16E-05;-7,41E-06;6,58E-05
1483;0,000320444;-0,000275995;7,91E-05;5,45E-06;1,87E-06;1,86E-05;0,000320444;-0,000275995;7,91E-05;5,45E-06;1,87E-06;1,86E-05;0,000242376;-0,001617035;0,000159659;9,56E-05;2,54E-06;7,44E-06;0,000582546;-0,002528193;-5,70E-05;-7,03E-05;-4,70E-07;2,42E-05;0,001167954;-0,00451041;2,80E-05;2,18E-05;-1,25E-06;6,41E-05
1484;0,000311486;-0,000350202;8,30E-05;7,97E-06;1,48E-06;2,03E-05;0,000311486;-0,000350202;8,30E-05;7,97E-06;1,48E-06;2,03E-05;0,000231427;-0,00164583;0,000164822;9,72E-05;9,58E-07;8,04E-06;0,000557519;-0,00263079;-5,92E-05;-6,63E-05;-1,48E-06;2,98E-05;0,001119648;-0,004740757;2,79E-05;2,37E-05;-4,37E-06;7,38E-05
1485;0,000312234;-0,00035634;8,26E-05;7,58E-06;1,64E-06;2,07E-05;0,000312234;-0,00035634;8,26E-05;7,58E-06;1,64E-06;2,07E-05;0,000232759;-0,001722615;0,000162488;9,31E-05;9,02E-07;7,54E-06;0,000557216;-0,002577127;-6,35E-05;-7,37E-05;-1,31E-06;2,91E-05;0,001119469;-0,004755754;2,07E-05;9,95E-06;-3,79E-06;7,12E-05
1486;0,000302634;-0,000446832;8,54E-05;1,08E-05;1,75E-06;2,66E-05;0,000302634;-0,000446832;8,54E-05;1,08E-05;1,75E-06;2,66E-05;0,000221634;-0,001758176;0,000163085;9,07E-05;-6,47E-08;1,10E-05;0,000533212;-0,002712487;-6,48E-05;-7,79E-05;-2,30E-06;4,17E-05;0,001072094;-0,005042771;1,87E-05;-3,24E-06;-6,05E-06;9,92E-05
1487;0,000303169;-0,000455172;8,50E-05;1,03E-05;1,83E-06;2,73E-05;0,000303169;-0,000455172;8,50E-05;1,03E-05;1,83E-06;2,73E-05;0,000222489;-0,001829498;0,000160395;8,63E-05;-1,21E-07;1,01E-05;0,00053306;-0,002648947;-6,91E-05;-8,50E-05;-2,58E-06;4,01E-05;0,001071916;-0,00503796;1,11E-05;-1,71E-05;-6,33E-06;9,48E-05
1488;0,000292996;-0,000565449;8,65E-05;1,39E-05;1,45E-06;3,01E-05;0,000292996;-0,000565449;8,65E-05;1,39E-05;1,45E-06;3,01E-05;0,000212278;-0,001809515;0,000161175;8,47E-05;4,47E-07;-2,05E-05;0,000510978;-0,002729708;-6,94E-05;-7,93E-05;4,98E-06;2,05E-06;0,001027417;-0,005231931;1,26E-05;-2,03E-05;3,17E-06;2,00E-05
1489;0,000293431;-0,000576286;8,61E-05;1,36E-05;1,58E-06;3,08E-05;0,000293431;-0,000576286;8,61E-05;1,36E-05;1,58E-06;3,08E-05;0,00021273;-0,001875779;0,000157889;7,90E-05;-2,42E-07;-2,08E-05;0,000510957;-0,002662977;-7,39E-05;-8,68E-05;4,20E-06;5,26E-06;0,001027492;-0,005212926;4,11E-06;-3,59E-05;1,68E-06;2,16E-05
1490;0,000282827;-0,000701395;8,67E-05;1,78E-05;1,87E-06;3,45E-05;0,000282827;-0,000701395;8,67E-05;1,78E-05;1,87E-06;3,45E-05;0,000201004;-0,001787264;0,000156811;7,41E-05;-2,21E-06;-2,51E-05;0,000487566;-0,002684013;-7,29E-05;-7,48E-05;2,86E-06;6,20E-06;0,000980305;-0,00528517;5,88E-06;-3,60E-05;-1,40E-06;2,23E-05
1491;0,000283129;-0,0007153;8,63E-05;1,74E-05;1,77E-06;3,56E-05;0,000283129;-0,0007153;8,63E-05;1,74E-05;1,77E-06;3,56E-05;0,000200887;-0,001844545;0,000152735;6,68E-05;-1,95E-06;-2,64E-05;0,000487565;-0,002620769;-7,72E-05;-8,23E-05;3,09E-06;8,31E-06;0,000980318;-0,005254502;-3,02E-06;-5,35E-05;-9,67E-07;2,14E-05
1492;0,000272571;-0,000861694;8,58E-05;2,23E-05;1,55E-06;4,07E-05;0,000272571;-0,000861694;8,58E-05;2,23E-05;1,55E-06;4,07E-05;0,000188431;-0,001752085;0,000149026;6,20E-05;-1,74E-06;-2,22E-05;0,000464432;-0,002671243;-7,44E-05;-7,38E-05;2,03E-06;1,76E-05;0,000933229;-0,00536629;-2,13E-07;-5,91E-05;-2,09E-06;4,37E-05
1493;0,00027267;-0,000879232;8,56E-05;2,21E-05;1,77E-06;4,18E-05;0,00027267;-0,000879232;8,56E-05;2,21E-05;1,77E-06;4,18E-05;0,000188128;-0,001799721;0,000144729;5,48E-05;-1,10E-06;-2,29E-05;0,000464676;-0,002609723;-7,78E-05;-7,93E-05;2,97E-06;1,91E-05;0,000933655;-0,005320492;-8,26E-06;-7,39E-05;-1,12E-07;4,26E-05
1494;0,00026161;-0,001079008;8,33E-05;2,81E-05;1,56E-06;6,30E-05;0,00026161;-0,001079008;8,33E-05;2,81E-05;1,56E-06;6,30E-05;0,000176983;-0,001636408;0,000141079;4,85E-05;-3,55E-06;-6,25E-05;0,000442966;-0,002654691;-7,69E-05;-6,37E-05;6,73E-06;4,65E-06;0,000889286;-0,005392971;-4,78E-06;-7,61E-05;-2,01E-08;7,35E-07
1495;0,000261367;-0,001100786;8,26E-05;2,72E-05;2,42E-07;6,39E-05;0,000261367;-0,001100786;8,26E-05;2,72E-05;2,42E-07;6,39E-05;0,0001766;-0,001671894;0,000136814;4,12E-05;-3,35E-06;-6,46E-05;0,000443263;-0,002601217;-8,01E-05;-6,89E-05;5,44E-06;8,70E-06;0,000889781;-0,005333714;-1,30E-05;-9,13E-05;-2,11E-06;-5,17E-07
1496;0,000351367;-0,000442056;0,000361003;1,34E-05;6,95E-06;2,31E-05;0,000351367;-0,000442056;0,000361003;1,34E-05;6,95E-06;2,31E-05;-7,90E-05;-0,001279143;0,000626458;2,07E-05;4,72E-07;-4,59E-06;0,000101596;-0,002696857;-0,00056595;-1,54E-05;6,03E-06;1,08E-05;0,000517397;-0,00465103;-0,000484269;-1,56E-05;-4,42E-06;5,13E-05
1497;0,000310735;-0,000343754;8,34E-05;8,36E-06;1,40E-06;1,99E-05;0,000310735;-0,000343754;8,34E-05;8,36E-06;1,40E-06;1,99E-05;0,000230246;-0,001566161;0,000166659;0,00010036;1,17E-06;8,34E-06;0,000558048;-0,002677995;-5,54E-05;-6,00E-05;-1,42E-06;3,04E-05;0,001120129;-0,004715967;3,40E-05;3,50E-05;-4,54E-06;7,65E-05
1498;0,000302214;-0,000438152;8,58E-05;1,12E-05;1,75E-06;2,57E-05;0,000302214;-0,000438152;8,58E-05;1,12E-05;1,75E-06;2,57E-05;0,00022089;-0,001683719;0,000165292;9,42E-05;9,56E-07;1,15E-05;0,000533559;-0,002769925;-6,08E-05;-7,14E-05;-1,44E-07;4,26E-05;0,001072741;-0,005037844;2,55E-05;8,81E-06;-2,44E-06;0,000102129
1499;0,00029264;-0,000554309;8,69E-05;1,43E-05;1,35E-06;2,95E-05;0,00029264;-0,000554309;8,69E-05;1,43E-05;1,35E-06;2,95E-05;0,000212087;-0,001739179;0,000163933;8,94E-05;7,21E-07;-2,08E-05;0,000511405;-0,002788526;-6,47E-05;-7,17E-05;5,28E-06;-2,01E-06;0,001028105;-0,005238472;2,06E-05;-5,63E-06;3,59E-06;1,68E-05
1500;0,00028253;-0,000687177;8,71E-05;1,82E-05;1,86E-06;3,35E-05;0,00028253;-0,000687177;8,71E-05;1,82E-05;1,86E-06;3,35E-05;0,000201164;-0,001724551;0,000160355;8,05E-05;-2,36E-06;-2,36E-05;0,000487635;-0,00274102;-6,82E-05;-6,67E-05;2,54E-06;4,23E-06;0,000980412;-0,005303688;1,46E-05;-1,89E-05;-1,87E-06;2,34E-05
1501;0,000272353;-0,00084403;8,60E-05;2,25E-05;1,41E-06;3,99E-05;0,000272353;-0,00084403;8,60E-05;2,25E-05;1,41E-06;3,99E-05;0,000188947;-0,001699084;0,000152839;6,84E-05;-2,38E-06;-2,12E-05;0,00046428;-0,002728223;-7,06E-05;-6,77E-05;1,14E-06;1,66E-05;0,000933003;-0,005401915;7,69E-06;-4,45E-05;-4,07E-06;4,61E-05
1502;0,000261723;-0,00105652;8,40E-05;2,90E-05;2,75E-06;6,13E-05;0,000261723;-0,00105652;8,40E-05;2,90E-05;2,75E-06;6,13E-05;0,000177596;-0,001593897;0,000145059;5,53E-05;-3,73E-06;-6,05E-05;0,000442707;-0,002703908;-7,33E-05;-5,79E-05;7,93E-06;-3,10E-07;0,000889018;-0,005440074;3,60E-06;-6,06E-05;2,12E-06;3,08E-07
1503;0,000291321;-0,000502136;8,89E-05;1,61E-05;1,23E-07;2,63E-05;0,000291321;-0,000502136;8,89E-05;1,61E-05;1,23E-07;2,63E-05;0,000214024;-0,001404026;0,00016982;9,88E-05;-3,13E-06;-1,34E-05;0,000518631;-0,002983354;-5,26E-05;-5,30E-05;-7,09E-06;-1,73E-06;0,001038717;-0,005170982;4,14E-05;2,96E-05;-1,12E-05;3,39E-05
1504;0,000281695;-0,000642699;8,83E-05;1,93E-05;1,36E-06;3,07E-05;0,000281695;-0,000642699;8,83E-05;1,93E-05;1,36E-06;3,07E-05;0,000201741;-0,001511588;0,000167847;9,37E-05;-2,40E-06;-1,91E-05;0,000487907;-0,002866575;-5,52E-05;-4,44E-05;1,80E-06;-6,25E-07;0,000980864;-0,005285977;3,67E-05;2,36E-05;-4,26E-06;2,89E-05
1505;0,000271275;-0,000789971;8,68E-05;2,33E-05;1,56E-06;3,79E-05;0,000271275;-0,000789971;8,68E-05;2,33E-05;1,56E-06;3,79E-05;0,000191055;-0,001514946;0,000161234;8,20E-05;-2,44E-06;-1,69E-05;0,000463767;-0,002863813;-5,83E-05;-4,78E-05;2,79E-06;1,53E-05;0,00093239;-0,005446591;2,94E-05;-5,03E-06;-3,00E-06;5,83E-05
1506;0,000260568;-0,000984281;8,61E-05;3,18E-05;5,38E-06;5,34E-05;0,000260568;-0,000984281;8,61E-05;3,18E-05;5,38E-06;5,34E-05;0,000180814;-0,00143927;0,000154043;7,04E-05;-4,54E-06;-5,49E-05;0,000441829;-0,00281842;-6,02E-05;-3,69E-05;9,79E-06;-1,89E-05;0,000887812;-0,005516361;2,76E-05;-1,64E-05;7,27E-06;-9,16E-06
1507;0,00053681;-0,001646943;0,000508262;1,72E-05;3,33E-06;4,11E-05;0,00053681;-0,001646943;0,000508262;1,72E-05;3,33E-06;4,11E-05;-2,09E-05;-0,001101961;0,000539375;1,67E-05;-8,48E-06;-4,99E-05;0,000589002;-0,002299789;-0,000311483;-1,11E-05;1,62E-05;1,75E-05;0,000937078;-0,00440213;-0,000527841;-2,63E-05;5,19E-06;-1,22E-05
1508;0,000214166;-0,002022658;4,42E-05;9,31E-06;-1,32E-06;2,71E-05;0,000214166;-0,002022658;4,42E-05;9,31E-06;-1,32E-06;2,71E-05;0,000114789;-0,000829918;0,00011045;1,51E-05;-2,50E-06;-4,13E-05;0,000360135;-0,002546859;-8,66E-05;-2,87E-05;5,30E-07;6,60E-06;0,000706834;-0,004567503;-3,04E-05;-0,000153676;-1,49E-07;-2,29E-05
1509;0,000193493;-0,002168871;4,27E-05;2,04E-05;-6,77E-06;2,77E-05;0,000193493;-0,002168871;4,27E-05;2,04E-05;-6,77E-06;2,77E-05;0,000106914;-0,000669189;0,000100205;1,02E-05;-2,12E-06;-4,06E-05;0,000332012;-0,002615424;-7,62E-05;-9,21E-06;-4,52E-06;7,41E-06;0,000654757;-0,00455038;-2,05E-05;-0,000139401;-8,43E-06;-2,18E-05
1510;0,00020031;-0,00213405;4,55E-05;2,48E-05;-2,06E-06;3,36E-05;0,00020031;-0,00213405;4,55E-05;2,48E-05;-2,06E-06;3,36E-05;0,000110581;-0,000648942;0,000101361;1,13E-05;-4,20E-06;-3,80E-05;0,000334129;-0,002634259;-7,24E-05;-3,79E-06;2,60E-06;1,06E-05;0,000660122;-0,004778538;-1,35E-05;-0,000128842;-3,13E-06;-8,62E-06
1511;0,000190812;-0,002175564;4,18E-05;2,96E-05;4,57E-06;-1,21E-05;0,000190812;-0,002175564;4,18E-05;2,96E-05;4,57E-06;-1,21E-05;9,93E-05;-0,000510407;9,18E-05;6,77E-06;-3,67E-06;-3,39E-05;0,000314723;-0,002589947;-6,30E-05;8,60E-06;9,51E-06;-3,31E-05;0,000618331;-0,004622892;-5,48E-06;-0,000119535;1,17E-05;-8,25E-05
1512;0,000190762;-0,002152907;4,44E-05;3,38E-05;1,13E-07;-1,32E-05;0,000190762;-0,002152907;4,44E-05;3,38E-05;1,13E-07;-1,32E-05;0,000101599;-0,000504935;9,22E-05;7,16E-06;-3,93E-06;-3,32E-05;0,00031281;-0,002583771;-6,01E-05;1,32E-05;4,94E-06;-3,59E-05;0,000617376;-0,004706729;-6,19E-07;-0,000111284;4,08E-06;-8,62E-05
1513;0,000190774;-0,002126422;4,77E-05;3,93E-05;-1,71E-06;-1,24E-05;0,000190774;-0,002126422;4,77E-05;3,93E-05;-1,71E-06;-1,24E-05;0,00010382;-0,000499116;9,26E-05;7,62E-06;-3,89E-06;-3,24E-05;0,000310921;-0,002573384;-5,63E-05;1,92E-05;3,02E-06;-3,67E-05;0,000616448;-0,004783966;5,42E-06;-0,00010065;1,09E-06;-8,65E-05
1514;0,000190774;-0,002094633;5,16E-05;4,60E-05;-2,00E-06;-1,10E-05;0,000190774;-0,002094633;5,16E-05;4,60E-05;-2,00E-06;-1,10E-05;0,000105873;-0,000492923;9,30E-05;8,09E-06;-3,78E-06;-3,15E-05;0,000308951;-0,002557276;-5,19E-05;2,65E-05;2,74E-06;-3,69E-05;0,000615241;-0,004852556;1,25E-05;-8,78E-05;9,15E-07;-8,57E-05
1515;0,000191195;-0,002055792;5,60E-05;5,35E-05;-1,68E-06;-1,01E-05;0,000191195;-0,002055792;5,60E-05;5,35E-05;-1,68E-06;-1,01E-05;0,000107814;-0,000486345;9,35E-05;8,58E-06;-3,67E-06;-3,07E-05;0,000307352;-0,002533664;-4,71E-05;3,45E-05;3,14E-06;-3,75E-05;0,000614575;-0,00491019;2,04E-05;-7,34E-05;1,93E-06;-8,60E-05
1516;0,000191538;-0,002010248;6,04E-05;6,09E-05;-1,21E-06;-9,49E-06;0,000191538;-0,002010248;6,04E-05;6,09E-05;-1,21E-06;-9,49E-06;0,000109654;-0,000479375;9,39E-05;9,07E-06;-3,58E-06;-2,98E-05;0,000305615;-0,002502892;-4,22E-05;4,25E-05;3,70E-06;-3,84E-05;0,000613604;-0,004956705;2,87E-05;-5,82E-05;3,31E-06;-8,68E-05
1517;0,000225329;-0,001936644;5,10E-05;1,42E-05;4,04E-06;3,50E-05;0,000225329;-0,001936644;5,10E-05;1,42E-05;4,04E-06;3,50E-05;0,000135738;-0,001018402;0,000120119;2,16E-05;-1,06E-06;-5,42E-05;0,000384821;-0,002552869;-9,00E-05;-3,31E-05;5,67E-06;8,28E-06;0,000763601;-0,004712079;-2,93E-05;-0,000141452;1,07E-05;-3,08E-05
1518;0,00066513;-0,001976902;0,000502315;1,64E-05;-4,75E-07;1,32E-05;0,00066513;-0,001976902;0,000502315;1,64E-05;-4,75E-07;1,32E-05;-2,49E-05;-0,000573877;0,000407756;1,33E-05;-1,00E-05;-3,55E-05;0,000716902;-0,002376161;-0,000112802;-8,35E-06;1,42E-05;-4,11E-06;0,001127254;-0,004123759;-0,000413039;-2,93E-05;8,76E-06;-3,72E-05
1519;0,000597299;-0,001826927;0,000514022;1,78E-05;1,99E-06;2,99E-05;0,000597299;-0,001826927;0,000514022;1,78E-05;1,99E-06;2,99E-05;-1,96E-05;-0,000796932;0,000477901;1,51E-05;-9,35E-06;-4,52E-05;0,000650907;-0,002333803;-0,0002101;-9,05E-06;1,61E-05;8,20E-06;0,001031613;-0,004226923;-0,000479906;-2,88E-05;7,49E-06;-2,42E-05
1520;0,000212585;-0,001997254;5,13E-05;2,08E-05;-2,43E-07;2,91E-05;0,000212585;-0,001997254;5,13E-05;2,08E-05;-2,43E-07;2,91E-05;0,000125113;-0,000787559;0,000112267;1,70E-05;-3,84E-06;-4,04E-05;0,000355207;-0,002620055;-7,81E-05;-1,57E-05;4,51E-06;1,73E-06;0,000706564;-0,004919528;-1,61E-05;-0,000129849;2,26E-07;-2,04E-05
1521;0,000211612;-0,002009297;4,83E-05;1,56E-05;-1,97E-07;2,99E-05;0,000211612;-0,002009297;4,83E-05;1,56E-05;-1,97E-07;2,99E-05;0,000123755;-0,000800733;0,00011178;1,65E-05;-4,34E-06;-4,21E-05;0,000356053;-0,002603025;-8,14E-05;-2,13E-05;4,44E-06;4,19E-06;0,000706999;-0,004821901;-2,16E-05;-0,000139958;-6,31E-07;-2,09E-05
1522;0,000213129;-0,001980604;5,49E-05;2,74E-05;-3,15E-07;2,88E-05;0,000213129;-0,001980604;5,49E-05;2,74E-05;-3,15E-07;2,88E-05;0,000126768;-0,00077402;0,000112722;1,74E-05;-3,39E-06;-3,94E-05;0,000354086;-0,002632125;-7,40E-05;-8,70E-06;4,52E-06;-4,39E-07;0,000706001;-0,005009345;-9,51E-06;-0,000117383;7,31E-07;-2,02E-05
1523;0,000200461;-0,002115405;4,80E-05;2,90E-05;2,40E-06;3,27E-05;0,000200461;-0,002115405;4,80E-05;2,90E-05;2,40E-06;3,27E-05;0,000112994;-0,000639718;0,000102002;1,19E-05;-4,32E-06;-3,70E-05;0,000332708;-0,002637994;-6,94E-05;9,25E-07;7,03E-06;7,78E-06;0,000659773;-0,004868954;-8,40E-06;-0,000120273;4,22E-06;-9,67E-06
1524;0,000213575;-0,001958113;5,93E-05;3,52E-05;-1,38E-07;2,86E-05;0,000213575;-0,001958113;5,93E-05;3,52E-05;-1,38E-07;2,86E-05;0,000128387;-0,000760125;0,000113153;1,79E-05;-3,21E-06;-3,85E-05;0,000352893;-0,002637993;-6,92E-05;-3,88E-07;4,74E-06;-2,62E-06;0,000705279;-0,005089534;-1,88E-06;-0,000102602;1,20E-06;-2,01E-05
1525;0,000200951;-0,002092794;5,14E-05;3,48E-05;3,68E-06;2,98E-05;0,000200951;-0,002092794;5,14E-05;3,48E-05;3,68E-06;2,98E-05;0,00011501;-0,000630067;0,000102567;1,24E-05;-4,16E-06;-3,58E-05;0,000331438;-0,00263738;-6,55E-05;7,20E-06;8,26E-06;3,25E-06;0,000659351;-0,004952531;-2,13E-06;-0,000109194;6,42E-06;-1,34E-05
1526;0,000214119;-0,001927341;6,40E-05;4,38E-05;2,37E-07;2,81E-05;0,000214119;-0,001927341;6,40E-05;4,38E-05;2,37E-07;2,81E-05;0,000129911;-0,000745878;0,000113565;1,83E-05;-3,25E-06;-3,76E-05;0,000351763;-0,002635186;-6,41E-05;8,71E-06;5,12E-06;-5,08E-06;0,000704601;-0,005157004;6,54E-06;-8,61E-05;1,69E-06;-2,05E-05
1527;0,00020159;-0,002064679;5,55E-05;4,21E-05;3,36E-06;2,67E-05;0,00020159;-0,002064679;5,55E-05;4,21E-05;3,36E-06;2,67E-05;0,000116912;-0,000620039;0,000103088;1,29E-05;-3,96E-06;-3,47E-05;0,000330267;-0,002630878;-6,09E-05;1,49E-05;7,97E-06;-1,49E-06;0,000659035;-0,005027206;5,30E-06;-9,57E-05;6,02E-06;-1,76E-05
1528;0,000214556;-0,001889112;6,88E-05;5,26E-05;6,53E-07;2,73E-05;0,000214556;-0,001889112;6,88E-05;5,26E-05;6,53E-07;2,73E-05;0,000131424;-0,000731286;0,000113962;1,87E-05;-3,39E-06;-3,66E-05;0,000350548;-0,00262453;-5,88E-05;1,79E-05;5,48E-06;-7,75E-06;0,000703767;-0,005212004;1,54E-05;-6,87E-05;2,17E-06;-2,10E-05
1529;0,000201906;-0,002028727;6,01E-05;5,01E-05;2,49E-06;2,43E-05;0,000201906;-0,002028727;6,01E-05;5,01E-05;2,49E-06;2,43E-05;0,000118699;-0,000609672;0,000103576;1,33E-05;-3,76E-06;-3,36E-05;0,000328735;-0,002616143;-5,57E-05;2,35E-05;7,16E-06;-5,44E-06;0,000658051;-0,005090121;1,35E-05;-8,05E-05;4,65E-06;-2,04E-05
1530;0,000215046;-0,001842744;7,34E-05;6,08E-05;1,00E-06;2,63E-05;0,000215046;-0,001842744;7,34E-05;6,08E-05;1,00E-06;2,63E-05;0,000132901;-0,000716358;0,000114347;1,91E-05;-3,54E-06;-3,55E-05;0,000349354;-0,00260532;-5,38E-05;2,67E-05;5,74E-06;-1,07E-05;0,000702964;-0,005253245;2,44E-05;-5,10E-05;2,60E-06;-2,18E-05
1531;0,000202447;-0,001985647;6,48E-05;5,82E-05;1,49E-06;2,24E-05;0,000202447;-0,001985647;6,48E-05;5,82E-05;1,49E-06;2,24E-05;0,000120406;-0,000598994;0,000104042;1,37E-05;-3,57E-06;-3,25E-05;0,000327368;-0,002593896;-5,06E-05;3,21E-05;6,27E-06;-8,92E-06;0,000657289;-0,005141485;2,22E-05;-6,45E-05;3,02E-06;-2,23E-05
1532;0,000215488;-0,00179018;7,75E-05;6,81E-05;1,24E-06;2,51E-05;0,000215488;-0,00179018;7,75E-05;6,81E-05;1,24E-06;2,51E-05;0,000134378;-0,000701106;0,000114727;1,95E-05;-3,64E-06;-3,43E-05;0,000348095;-0,002579505;-4,93E-05;3,45E-05;5,89E-06;-1,36E-05;0,000702052;-0,005282148;3,33E-05;-3,35E-05;3,04E-06;-2,29E-05
1533;0,000202821;-0,001935001;6,91E-05;6,58E-05;5,27E-07;2,14E-05;0,000202821;-0,001935001;6,91E-05;6,58E-05;5,27E-07;2,14E-05;0,000122047;-0,000588018;0,000104494;1,41E-05;-3,40E-06;-3,15E-05;0,00032578;-0,002563697;-4,57E-05;4,01E-05;5,46E-06;-1,16E-05;0,000656086;-0,005180326;3,08E-05;-4,84E-05;1,33E-06;-2,26E-05
1534;0,000260714;-0,001121814;8,20E-05;2,63E-05;-1,09E-06;6,42E-05;0,000260714;-0,001121814;8,20E-05;2,63E-05;-1,09E-06;6,42E-05;0,000176514;-0,001701242;0,000132569;3,40E-05;-3,07E-06;-6,68E-05;0,000443348;-0,002543933;-8,29E-05;-7,34E-05;4,18E-06;1,20E-05;0,000890149;-0,00526368;-2,09E-05;-0,000105781;-3,92E-06;-3,02E-06
1535;0,00025978;-0,00095874;8,68E-05;3,27E-05;5,99E-06;5,01E-05;0,00025978;-0,00095874;8,68E-05;3,27E-05;5,99E-06;5,01E-05;0,000182377;-0,001380943;0,000156097;7,37E-05;-5,81E-06;-5,28E-05;0,000441812;-0,002843735;-5,60E-05;-3,01E-05;8,50E-06;-2,56E-05;0,000887427;-0,005520787;3,45E-05;-4,06E-06;5,25E-06;-1,37E-05
1536;0,000259214;-0,000932542;8,74E-05;3,34E-05;6,53E-06;4,61E-05;0,000259214;-0,000932542;8,74E-05;3,34E-05;6,53E-06;4,61E-05;0,000183827;-0,001320304;0,000157624;7,61E-05;-8,72E-06;-4,93E-05;0,000441972;-0,002862469;-5,25E-05;-2,47E-05;4,04E-06;-3,08E-05;0,00088722;-0,005515723;4,02E-05;5,85E-06;-2,76E-06;-1,55E-05
1537;0,00025676;-0,000868982;8,89E-05;3,50E-05;-1,05E-07;3,87E-05;0,00025676;-0,000868982;8,89E-05;3,50E-05;-1,05E-07;3,87E-05;0,000190936;-0,001172279;0,000159352;7,87E-05;-4,28E-06;-3,79E-05;0,000448074;-0,002894603;-4,81E-05;-1,84E-05;-6,59E-06;-3,24E-05;0,000893483;-0,005484694;4,81E-05;1,80E-05;-9,01E-06;-2,08E-06
1538;0,000390982;-0,001133267;0,000514172;1,73E-05;2,82E-06;2,50E-05;0,000390982;-0,001133267;0,000514172;1,73E-05;2,82E-06;2,50E-05;3,98E-05;-0,000763561;0,000543567;1,72E-05;-9,09E-06;-3,01E-05;0,000366392;-0,00238973;-0,000301274;-9,39E-06;1,50E-05;-3,13E-05;0,00098523;-0,005033819;-0,000507105;-2,18E-05;2,67E-06;-1,94E-05
1539;0,000220797;-0,00135918;9,14E-05;9,21E-05;-9,59E-07;1,47E-05;0,000220797;-0,00135918;9,14E-05;9,21E-05;-9,59E-07;1,47E-05;0,000140812;-0,000596785;0,000117368;2,21E-05;-1,58E-06;-2,58E-05;0,000335939;-0,002308239;-3,17E-05;6,21E-05;1,86E-06;-3,22E-05;0,000692559;-0,005201444;7,43E-05;4,24E-05;2,89E-06;-3,52E-05
