x;y1;y2
0,39;0,182658551;0,127808088
0,3912;0,291442463;0,207818047
0,3924;0,317385104;0,180249811
0,3936;0,026603845;0,118975849
0,3948;0,063886099;0,079212661
0,396;0,098005853;4,56E-05
0,3972;-0,107649029;-0,074398879
0,3984;0,043256396;-0,118494267
0,3996;-0,01234451;-0,078483523
0,4008;-0,156465214;-0,04291107
0,402;-0,029755258;-0,015783918
0,4032;-0,082789624;0,094685159
0,4044;-0,065293984;0,150685542
0,4056;-0,007540252;0,165689567
0,4068;-0,002980066;0,161285883
0,408;0,151443559;0,128317276
0,4092;0,133014458;0,152723875
0,4104;0,002313038;0,146767162
0,4116;0,01396819;0,119967399
0,4128;-0,062886359;0,087945306
0,414;-0,201813699;0,01698662
0,4152;-0,295995759;0,046709119
0,4164;-0,294257268;0,101537978
0,4176;-0,168906146;0,009684658
0,4188;-0,178709736;-0,058213447
0,42;-0,229253527;0,001413547
0,4212;-0,081068093;-0,034361009
0,4224;-0,075200646;-0,14073569
0,4236;-0,119534953;-0,107983168
0,4248;0,109166308;-0,057978109
0,426;0,038953791;-0,074626449
0,4272;-0,079669823;-0,041712205
0,4284;0,101684777;0,02478092
0,4296;-0,035439898;0,067495421
0,4308;-0,171535199;0,114641954
0,432;-0,049132368;0,120723973
0,4332;-0,075383812;0,036567831
0,4344;-0,134749897;0,002269629
0,4356;-0,099984147;0,041127896
0,4368;-0,184835344;0,029677335
0,438;-0,277400656;0,037329526
0,4392;-0,051595434;0,099117702
0,4404;0,102786167;0,075026431
0,4416;-0,002419058;0,032382727
0,4428;0,053433577;0,023669211
0,444;0,066799248;0,002458293
0,4452;-0,060587538;0,060416347
0,4464;0,013627617;0,048761649
0,4476;-0,065114109;0,06617804
0,4488;-0,225821003;0,192541592
0,45;-0,040285039;0,186500417
0,4512;-0,17162078;0,180005035
0,4524;-0,269469968;0,110570458
0,4536;-0,04448136;0,020782987
0,4548;-0,15038143;-0,044306423
0,456;-0,088379352;-0,174111108
0,4572;0,088377361;-0,171928749
0,4584;0,069547138;-0,180424153
0,4596;0,183923048;-0,163497778
0,4608;0,235396369;-0,090434209
0,462;0,112181356;-0,016068415
0,4632;-0,012582805;0,088759631
0,4644;0,068172071;0,077999172
0,4656;0,155070148;0,168110927
0,4668;0,087219465;0,214050456
0,468;0,17409086;0,08605319
0,4692;0,143279862;0,002613301
0,4704;-0,072669217;-0,067424364
0,4716;-0,085672369;-0,099146848
0,4728;-0,011603232;-0,160132644
0,474;-0,014820884;-0,136211417
0,4752;0,00435639;-0,053082555
0,4764;0,122142536;0,004804407
0,4776;0,146154122;0,107594502
